## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4510543D  34   3   u    0       0          9              2      HE   -21    61      1
 43102C40  34   4   u    0       0         14              0      HB   -11    64      1
 43101C40  34   4   u    0       0         14              1      HB    -7    64      1
 43100C40  34   4   u    0       0         14              2      HB    -3    64      1
 43101440  34   4   u    0       0         15              0      HB    -5    64      1
 43100440  34   4   u    0       0         15              1      HB    -1    64      1
 43102440  34   4   u    0       0         15              2      HB    -9    64      1
 43102C3F  34   4   u    0       0         16              0      HB   -11    63      1
 43101C3F  34   4   u    0       0         16              1      HB    -7    63      1
 43100C3F  34   4   u    0       0         16              2      HB    -3    63      1
 4310143F  34   4   u    0       0         17              0      HB    -5    63      1
 4310043F  34   4   u    0       0         17              1      HB    -1    63      1
 4310243F  34   4   u    0       0         17              2      HB    -9    63      1
 43102840  34   4   u    0       0         18              0      HB   -10    64      1
 43101840  34   4   u    0       0         18              1      HB    -6    64      1
 43100840  34   4   u    0       0         18              2      HB    -2    64      1
 43102040  34   4   u    0       0         19              0      HB    -8    64      1
 43101040  34   4   u    0       0         19              1      HB    -4    64      1
 43103040  34   4   u    0       0         19              2      HB   -12    64      1
 4310283F  34   4   u    0       0         20              0      HB   -10    63      1
 4310183F  34   4   u    0       0         20              1      HB    -6    63      1
 4310083F  34   4   u    0       0         20              2      HB    -2    63      1
 4310203F  34   4   u    0       0         21              0      HB    -8    63      1
 4310103F  34   4   u    0       0         21              1      HB    -4    63      1
 4310303F  34   4   u    0       0         21              2      HB   -12    63      1
 43102C42  34   4   u    0       0          2              0      HB   -11    66      1
 43101C42  34   4   u    0       0          2              1      HB    -7    66      1
 43100C42  34   4   u    0       0          2              2      HB    -3    66      1
 43101442  34   4   u    0       0          3              0      HB    -5    66      1
 43100442  34   4   u    0       0          3              1      HB    -1    66      1
 43102442  34   4   u    0       0          3              2      HB    -9    66      1
 43102C41  34   4   u    0       0          4              0      HB   -11    65      1
 43101C41  34   4   u    0       0          4              1      HB    -7    65      1
 43100C41  34   4   u    0       0          4              2      HB    -3    65      1
 43101441  34   4   u    0       0          5              0      HB    -5    65      1
 43100441  34   4   u    0       0          5              1      HB    -1    65      1
 43102441  34   4   u    0       0          5              2      HB    -9    65      1
 43102842  34   4   u    0       0          6              0      HB   -10    66      1
 43101842  34   4   u    0       0          6              1      HB    -6    66      1
 43100842  34   4   u    0       0          6              2      HB    -2    66      1
 43102042  34   4   u    0       0          7              0      HB    -8    66      1
 43101042  34   4   u    0       0          7              1      HB    -4    66      1
 43103042  34   4   u    0       0          7              2      HB   -12    66      1
 43102841  34   4   u    0       0          8              0      HB   -10    65      1
 43101841  34   4   u    0       0          8              1      HB    -6    65      1
 43100841  34   4   u    0       0          8              2      HB    -2    65      1
 43102041  34   4   u    0       0          9              0      HB    -8    65      1
 43101041  34   4   u    0       0          9              1      HB    -4    65      1
 43103041  34   4   u    0       0          9              2      HB   -12    65      1
 43204040  34   5   u    0       0         14              0      HB   -16    64      2
 43203C40  34   5   u    0       0         14              1      HB   -15    64      2
 43103840  34   5   u    0       0         14              2      HB   -14    64      1
 43103C40  34   5   u    0       0         15              0      HB   -15    64      1
 43103440  34   5   u    0       0         15              1      HB   -13    64      1
 43104040  34   5   u    0       0         15              2      HB   -16    64      1
 4320403F  34   5   u    0       0         16              0      HB   -16    63      2
 43203C3F  34   5   u    0       0         16              1      HB   -15    63      2
 4310383F  34   5   u    0       0         16              2      HB   -14    63      1
 43103C3F  34   5   u    0       0         17              0      HB   -15    63      1
 4310343F  34   5   u    0       0         17              1      HB   -13    63      1
 4310403F  34   5   u    0       0         17              2      HB   -16    63      1
 45104440  34   5   u    0       0         18              0      HE   -17    64      1
 45304040  34   5   u    0       0         18              1      HE   -16    64      3
 4510643F  34   5   u    0       0         18              2      HE   -25    63      1
 45104840  34   5   u    0       0         19              0      HE   -18    64      1
 45204840  34   5   u    0       0         19              1      HE   -18    64      2
 4520643F  34   5   u    0       0         19              2      HE   -25    63      2
 4510443F  34   5   u    0       0         20              0      HE   -17    63      1
 4530403F  34   5   u    0       0         20              1      HE   -16    63      3
 4510683F  34   5   u    0       0         20              2      HE   -26    63      1
 4510483F  34   5   u    0       0         21              0      HE   -18    63      1
 4520483F  34   5   u    0       0         21              1      HE   -18    63      2
 4520683F  34   5   u    0       0         21              2      HE   -26    63      2
 43204042  34   5   u    0       0          2              0      HB   -16    66      2
 43203C42  34   5   u    0       0          2              1      HB   -15    66      2
 43103842  34   5   u    0       0          2              2      HB   -14    66      1
 43103C42  34   5   u    0       0          3              0      HB   -15    66      1
 43103442  34   5   u    0       0          3              1      HB   -13    66      1
 43104042  34   5   u    0       0          3              2      HB   -16    66      1
 43204041  34   5   u    0       0          4              0      HB   -16    65      2
 43203C41  34   5   u    0       0          4              1      HB   -15    65      2
 43103841  34   5   u    0       0          4              2      HB   -14    65      1
 43103C41  34   5   u    0       0          5              0      HB   -15    65      1
 43103441  34   5   u    0       0          5              1      HB   -13    65      1
 43104041  34   5   u    0       0          5              2      HB   -16    65      1
 45104442  34   5   u    0       0          6              0      HE   -17    66      1
 45304042  34   5   u    0       0          6              1      HE   -16    66      3
 45106841  34   5   u    0       0          6              2      HE   -26    65      1
 45104842  34   5   u    0       0          7              0      HE   -18    66      1
 45204842  34   5   u    0       0          7              1      HE   -18    66      2
 45206841  34   5   u    0       0          7              2      HE   -26    65      2
 45104441  34   5   u    0       0          8              0      HE   -17    65      1
 45304041  34   5   u    0       0          8              1      HE   -16    65      3
 45106441  34   5   u    0       0          8              2      HE   -25    65      1
 45104841  34   5   u    0       0          9              0      HE   -18    65      1
 45204841  34   5   u    0       0          9              1      HE   -18    65      2
 45206441  34   5   u    0       0          9              2      HE   -25    65      2
 45106C3F  34   6   u    0       0         14              0      HE   -27    63      1
 45206C3F  34   6   u    0       0         14              1      HE   -27    63      2
 4520743F  34   6   u    0       0         14              2      HE   -29    63      2
 45306C3F  34   6   u    0       0         15              0      HE   -27    63      3
 45205C3F  34   6   u    0       0         15              1      HE   -23    63      2
 45105C3F  34   6   u    0       0         15              2      HE   -23    63      1
 4510703F  34   6   u    0       0         16              0      HE   -28    63      1
 4520703F  34   6   u    0       0         16              1      HE   -28    63      2
 4510743F  34   6   u    0       0         16              2      HE   -29    63      1
 4530703F  34   6   u    0       0         17              0      HE   -28    63      3
 4520603F  34   6   u    0       0         17              1      HE   -24    63      2
 4510603F  34   6   u    0       0         17              2      HE   -24    63      1
 45204C40  34   6   u    0       0         18              0      HE   -19    64      2
 45105040  34   6   u    0       0         18              1      HE   -20    64      1
 4520543F  34   6   u    0       0         18              2      HE   -21    63      2
 45104C40  34   6   u    0       0         19              0      HE   -19    64      1
 45205040  34   6   u    0       0         19              1      HE   -20    64      2
 4510543F  34   6   u    0       0         19              2      HE   -21    63      1
 45204C3F  34   6   u    0       0         20              0      HE   -19    63      2
 4510503F  34   6   u    0       0         20              1      HE   -20    63      1
 4520583F  34   6   u    0       0         20              2      HE   -22    63      2
 45104C3F  34   6   u    0       0         21              0      HE   -19    63      1
 4520503F  34   6   u    0       0         21              1      HE   -20    63      2
 4510583F  34   6   u    0       0         21              2      HE   -22    63      1
 45107041  34   6   u    0       0          2              0      HE   -28    65      1
 45207041  34   6   u    0       0          2              1      HE   -28    65      2
 45107441  34   6   u    0       0          2              2      HE   -29    65      1
 45307041  34   6   u    0       0          3              0      HE   -28    65      3
 45206041  34   6   u    0       0          3              1      HE   -24    65      2
 45106041  34   6   u    0       0          3              2      HE   -24    65      1
 45106C41  34   6   u    0       0          4              0      HE   -27    65      1
 45206C41  34   6   u    0       0          4              1      HE   -27    65      2
 45207441  34   6   u    0       0          4              2      HE   -29    65      2
 45306C41  34   6   u    0       0          5              0      HE   -27    65      3
 45205C41  34   6   u    0       0          5              1      HE   -23    65      2
 45105C41  34   6   u    0       0          5              2      HE   -23    65      1
 45204C42  34   6   u    0       0          6              0      HE   -19    66      2
 45105042  34   6   u    0       0          6              1      HE   -20    66      1
 45205841  34   6   u    0       0          6              2      HE   -22    65      2
 45104C42  34   6   u    0       0          7              0      HE   -19    66      1
 45205042  34   6   u    0       0          7              1      HE   -20    66      2
 45105841  34   6   u    0       0          7              2      HE   -22    65      1
 45204C41  34   6   u    0       0          8              0      HE   -19    65      2
 45105041  34   6   u    0       0          8              1      HE   -20    65      1
 45205441  34   6   u    0       0          8              2      HE   -21    65      2
 45104C41  34   6   u    0       0          9              0      HE   -19    65      1
 45205041  34   6   u    0       0          9              1      HE   -20    65      2
 45105441  34   6   u    0       0          9              2      HE   -21    65      1
 43182C3B  34   7   u    0       0         14              0      HB    11    59      1
 43181C3B  34   7   u    0       0         14              1      HB     7    59      1
 43180C3B  34   7   u    0       0         14              2      HB     3    59      1
 4318143B  34   7   u    0       0         15              0      HB     5    59      1
 4318043B  34   7   u    0       0         15              1      HB     1    59      1
 4318243B  34   7   u    0       0         15              2      HB     9    59      1
 43182C3C  34   7   u    0       0         16              0      HB    11    60      1
 43181C3C  34   7   u    0       0         16              1      HB     7    60      1
 43180C3C  34   7   u    0       0         16              2      HB     3    60      1
 4318143C  34   7   u    0       0         17              0      HB     5    60      1
 4318043C  34   7   u    0       0         17              1      HB     1    60      1
 4318243C  34   7   u    0       0         17              2      HB     9    60      1
 4318283B  34   7   u    0       0         18              0      HB    10    59      1
 4318183B  34   7   u    0       0         18              1      HB     6    59      1
 4318083B  34   7   u    0       0         18              2      HB     2    59      1
 4318203B  34   7   u    0       0         19              0      HB     8    59      1
 4318103B  34   7   u    0       0         19              1      HB     4    59      1
 4318303B  34   7   u    0       0         19              2      HB    12    59      1
 4318283C  34   7   u    0       0         20              0      HB    10    60      1
 4318183C  34   7   u    0       0         20              1      HB     6    60      1
 4318083C  34   7   u    0       0         20              2      HB     2    60      1
 4318203C  34   7   u    0       0         21              0      HB     8    60      1
 4318103C  34   7   u    0       0         21              1      HB     4    60      1
 4318303C  34   7   u    0       0         21              2      HB    12    60      1
 43182C3D  34   7   u    0       0          2              0      HB    11    61      1
 43181C3D  34   7   u    0       0          2              1      HB     7    61      1
 43180C3D  34   7   u    0       0          2              2      HB     3    61      1
 4318143D  34   7   u    0       0          3              0      HB     5    61      1
 4318043D  34   7   u    0       0          3              1      HB     1    61      1
 4318243D  34   7   u    0       0          3              2      HB     9    61      1
 43182C3E  34   7   u    0       0          4              0      HB    11    62      1
 43181C3E  34   7   u    0       0          4              1      HB     7    62      1
 43180C3E  34   7   u    0       0          4              2      HB     3    62      1
 4318143E  34   7   u    0       0          5              0      HB     5    62      1
 4318043E  34   7   u    0       0          5              1      HB     1    62      1
 4318243E  34   7   u    0       0          5              2      HB     9    62      1
 4318283D  34   7   u    0       0          6              0      HB    10    61      1
 4318183D  34   7   u    0       0          6              1      HB     6    61      1
 4318083D  34   7   u    0       0          6              2      HB     2    61      1
 4318203D  34   7   u    0       0          7              0      HB     8    61      1
 4318103D  34   7   u    0       0          7              1      HB     4    61      1
 4318303D  34   7   u    0       0          7              2      HB    12    61      1
 4318283E  34   7   u    0       0          8              0      HB    10    62      1
 4318183E  34   7   u    0       0          8              1      HB     6    62      1
 4318083E  34   7   u    0       0          8              2      HB     2    62      1
 4318203E  34   7   u    0       0          9              0      HB     8    62      1
 4318103E  34   7   u    0       0          9              1      HB     4    62      1
 4318303E  34   7   u    0       0          9              2      HB    12    62      1
 4328403B  34   8   u    0       0         14              0      HB    16    59      2
 43283C3B  34   8   u    0       0         14              1      HB    15    59      2
 4318383B  34   8   u    0       0         14              2      HB    14    59      1
 43183C3B  34   8   u    0       0         15              0      HB    15    59      1
 4318343B  34   8   u    0       0         15              1      HB    13    59      1
 4318403B  34   8   u    0       0         15              2      HB    16    59      1
 4328403C  34   8   u    0       0         16              0      HB    16    60      2
 43283C3C  34   8   u    0       0         16              1      HB    15    60      2
 4318383C  34   8   u    0       0         16              2      HB    14    60      1
 43183C3C  34   8   u    0       0         17              0      HB    15    60      1
 4318343C  34   8   u    0       0         17              1      HB    13    60      1
 4318403C  34   8   u    0       0         17              2      HB    16    60      1
 4518443B  34   8   u    0       0         18              0      HE    17    59      1
 4538403B  34   8   u    0       0         18              1      HE    16    59      3
 4518683B  34   8   u    0       0         18              2      HE    26    59      1
 4518483B  34   8   u    0       0         19              0      HE    18    59      1
 4528483B  34   8   u    0       0         19              1      HE    18    59      2
 4528683B  34   8   u    0       0         19              2      HE    26    59      2
 4518443C  34   8   u    0       0         20              0      HE    17    60      1
 4538403C  34   8   u    0       0         20              1      HE    16    60      3
 4518643B  34   8   u    0       0         20              2      HE    25    59      1
 4518483C  34   8   u    0       0         21              0      HE    18    60      1
 4528483C  34   8   u    0       0         21              1      HE    18    60      2
 4528643B  34   8   u    0       0         21              2      HE    25    59      2
 4328403D  34   8   u    0       0          2              0      HB    16    61      2
 43283C3D  34   8   u    0       0          2              1      HB    15    61      2
 4318383D  34   8   u    0       0          2              2      HB    14    61      1
 43183C3D  34   8   u    0       0          3              0      HB    15    61      1
 4318343D  34   8   u    0       0          3              1      HB    13    61      1
 4318403D  34   8   u    0       0          3              2      HB    16    61      1
 4328403E  34   8   u    0       0          4              0      HB    16    62      2
 43283C3E  34   8   u    0       0          4              1      HB    15    62      2
 4318383E  34   8   u    0       0          4              2      HB    14    62      1
 43183C3E  34   8   u    0       0          5              0      HB    15    62      1
 4318343E  34   8   u    0       0          5              1      HB    13    62      1
 4318403E  34   8   u    0       0          5              2      HB    16    62      1
 4518443D  34   8   u    0       0          6              0      HE    17    61      1
 4538403D  34   8   u    0       0          6              1      HE    16    61      3
 4518643D  34   8   u    0       0          6              2      HE    25    61      1
 4518483D  34   8   u    0       0          7              0      HE    18    61      1
 4528483D  34   8   u    0       0          7              1      HE    18    61      2
 4528643D  34   8   u    0       0          7              2      HE    25    61      2
 4518443E  34   8   u    0       0          8              0      HE    17    62      1
 4538403E  34   8   u    0       0          8              1      HE    16    62      3
 4518683D  34   8   u    0       0          8              2      HE    26    61      1
 4518483E  34   8   u    0       0          9              0      HE    18    62      1
 4528483E  34   8   u    0       0          9              1      HE    18    62      2
 4528683D  34   8   u    0       0          9              2      HE    26    61      2
 4518703B  34   9   u    0       0         14              0      HE    28    59      1
 4528703B  34   9   u    0       0         14              1      HE    28    59      2
 4518743B  34   9   u    0       0         14              2      HE    29    59      1
 4538703B  34   9   u    0       0         15              0      HE    28    59      3
 4528603B  34   9   u    0       0         15              1      HE    24    59      2
 4518603B  34   9   u    0       0         15              2      HE    24    59      1
 45186C3B  34   9   u    0       0         16              0      HE    27    59      1
 45286C3B  34   9   u    0       0         16              1      HE    27    59      2
 4528743B  34   9   u    0       0         16              2      HE    29    59      2
 45386C3B  34   9   u    0       0         17              0      HE    27    59      3
 45285C3B  34   9   u    0       0         17              1      HE    23    59      2
 45185C3B  34   9   u    0       0         17              2      HE    23    59      1
 45284C3B  34   9   u    0       0         18              0      HE    19    59      2
 4518503B  34   9   u    0       0         18              1      HE    20    59      1
 4528583B  34   9   u    0       0         18              2      HE    22    59      2
 45184C3B  34   9   u    0       0         19              0      HE    19    59      1
 4528503B  34   9   u    0       0         19              1      HE    20    59      2
 4518583B  34   9   u    0       0         19              2      HE    22    59      1
 45284C3C  34   9   u    0       0         20              0      HE    19    60      2
 4518503C  34   9   u    0       0         20              1      HE    20    60      1
 4528543B  34   9   u    0       0         20              2      HE    21    59      2
 45184C3C  34   9   u    0       0         21              0      HE    19    60      1
 4528503C  34   9   u    0       0         21              1      HE    20    60      2
 4518543B  34   9   u    0       0         21              2      HE    21    59      1
 45186C3D  34   9   u    0       0          2              0      HE    27    61      1
 45286C3D  34   9   u    0       0          2              1      HE    27    61      2
 4528743D  34   9   u    0       0          2              2      HE    29    61      2
 45386C3D  34   9   u    0       0          3              0      HE    27    61      3
 45285C3D  34   9   u    0       0          3              1      HE    23    61      2
 45185C3D  34   9   u    0       0          3              2      HE    23    61      1
 4518703D  34   9   u    0       0          4              0      HE    28    61      1
 4528703D  34   9   u    0       0          4              1      HE    28    61      2
 4518743D  34   9   u    0       0          4              2      HE    29    61      1
 4538703D  34   9   u    0       0          5              0      HE    28    61      3
 4528603D  34   9   u    0       0          5              1      HE    24    61      2
 4518603D  34   9   u    0       0          5              2      HE    24    61      1
 45284C3D  34   9   u    0       0          6              0      HE    19    61      2
 4518503D  34   9   u    0       0          6              1      HE    20    61      1
 4528543D  34   9   u    0       0          6              2      HE    21    61      2
 45184C3D  34   9   u    0       0          7              0      HE    19    61      1
 4528503D  34   9   u    0       0          7              1      HE    20    61      2
 4518543D  34   9   u    0       0          7              2      HE    21    61      1
 45284C3E  34   9   u    0       0          8              0      HE    19    62      2
 4518503E  34   9   u    0       0          8              1      HE    20    62      1
 4528583D  34   9   u    0       0          8              2      HE    22    61      2
 45184C3E  34   9   u    0       0          9              0      HE    19    62      1
 4528503E  34   9   u    0       0          9              1      HE    20    62      2
 4518583D  34   9   u    0       0          9              2      HE    22    61      1
 43102C2C  35   1   u    0       0         14              0      HB   -11    44      1
 43101C2C  35   1   u    0       0         14              1      HB    -7    44      1
 43100C2C  35   1   u    0       0         14              2      HB    -3    44      1
 4310142C  35   1   u    0       0         15              0      HB    -5    44      1
 4310042C  35   1   u    0       0         15              1      HB    -1    44      1
 4310242C  35   1   u    0       0         15              2      HB    -9    44      1
 43102C2B  35   1   u    0       0         16              0      HB   -11    43      1
 43101C2B  35   1   u    0       0         16              1      HB    -7    43      1
 43100C2B  35   1   u    0       0         16              2      HB    -3    43      1
 4310142B  35   1   u    0       0         17              0      HB    -5    43      1
 4310042B  35   1   u    0       0         17              1      HB    -1    43      1
 4310242B  35   1   u    0       0         17              2      HB    -9    43      1
 4310282C  35   1   u    0       0         18              0      HB   -10    44      1
 4310182C  35   1   u    0       0         18              1      HB    -6    44      1
 4310082C  35   1   u    0       0         18              2      HB    -2    44      1
 4310202C  35   1   u    0       0         19              0      HB    -8    44      1
 4310102C  35   1   u    0       0         19              1      HB    -4    44      1
 4310302C  35   1   u    0       0         19              2      HB   -12    44      1
 4310282B  35   1   u    0       0         20              0      HB   -10    43      1
 4310182B  35   1   u    0       0         20              1      HB    -6    43      1
 4310082B  35   1   u    0       0         20              2      HB    -2    43      1
 4310202B  35   1   u    0       0         21              0      HB    -8    43      1
 4310102B  35   1   u    0       0         21              1      HB    -4    43      1
 4310302B  35   1   u    0       0         21              2      HB   -12    43      1
 43102C2E  35   1   u    0       0          2              0      HB   -11    46      1
 43101C2E  35   1   u    0       0          2              1      HB    -7    46      1
 43100C2E  35   1   u    0       0          2              2      HB    -3    46      1
 4310142E  35   1   u    0       0          3              0      HB    -5    46      1
 4310042E  35   1   u    0       0          3              1      HB    -1    46      1
 4310242E  35   1   u    0       0          3              2      HB    -9    46      1
 43102C2D  35   1   u    0       0          4              0      HB   -11    45      1
 43101C2D  35   1   u    0       0          4              1      HB    -7    45      1
 43100C2D  35   1   u    0       0          4              2      HB    -3    45      1
 4310142D  35   1   u    0       0          5              0      HB    -5    45      1
 4310042D  35   1   u    0       0          5              1      HB    -1    45      1
 4310242D  35   1   u    0       0          5              2      HB    -9    45      1
 4310282E  35   1   u    0       0          6              0      HB   -10    46      1
 4310182E  35   1   u    0       0          6              1      HB    -6    46      1
 4310082E  35   1   u    0       0          6              2      HB    -2    46      1
 4310202E  35   1   u    0       0          7              0      HB    -8    46      1
 4310102E  35   1   u    0       0          7              1      HB    -4    46      1
 4310302E  35   1   u    0       0          7              2      HB   -12    46      1
 4310282D  35   1   u    0       0          8              0      HB   -10    45      1
 4310182D  35   1   u    0       0          8              1      HB    -6    45      1
 4310082D  35   1   u    0       0          8              2      HB    -2    45      1
 4310202D  35   1   u    0       0          9              0      HB    -8    45      1
 4310102D  35   1   u    0       0          9              1      HB    -4    45      1
 4310302D  35   1   u    0       0          9              2      HB   -12    45      1
 4320402C  35   2   u    0       0         14              0      HB   -16    44      2
 43203C2C  35   2   u    0       0         14              1      HB   -15    44      2
 4310382C  35   2   u    0       0         14              2      HB   -14    44      1
 43103C2C  35   2   u    0       0         15              0      HB   -15    44      1
 4310342C  35   2   u    0       0         15              1      HB   -13    44      1
 4310402C  35   2   u    0       0         15              2      HB   -16    44      1
 4320402B  35   2   u    0       0         16              0      HB   -16    43      2
 43203C2B  35   2   u    0       0         16              1      HB   -15    43      2
 4310382B  35   2   u    0       0         16              2      HB   -14    43      1
 43103C2B  35   2   u    0       0         17              0      HB   -15    43      1
 4310342B  35   2   u    0       0         17              1      HB   -13    43      1
 4310402B  35   2   u    0       0         17              2      HB   -16    43      1
 4510442C  35   2   u    0       0         18              0      HE   -17    44      1
 4530402C  35   2   u    0       0         18              1      HE   -16    44      3
 4510642B  35   2   u    0       0         18              2      HE   -25    43      1
 4510482C  35   2   u    0       0         19              0      HE   -18    44      1
 4520482C  35   2   u    0       0         19              1      HE   -18    44      2
 4520642B  35   2   u    0       0         19              2      HE   -25    43      2
 4510442B  35   2   u    0       0         20              0      HE   -17    43      1
 4530402B  35   2   u    0       0         20              1      HE   -16    43      3
 4510682B  35   2   u    0       0         20              2      HE   -26    43      1
 4510482B  35   2   u    0       0         21              0      HE   -18    43      1
 4520482B  35   2   u    0       0         21              1      HE   -18    43      2
 4520682B  35   2   u    0       0         21              2      HE   -26    43      2
 4320402E  35   2   u    0       0          2              0      HB   -16    46      2
 43203C2E  35   2   u    0       0          2              1      HB   -15    46      2
 4310382E  35   2   u    0       0          2              2      HB   -14    46      1
 43103C2E  35   2   u    0       0          3              0      HB   -15    46      1
 4310342E  35   2   u    0       0          3              1      HB   -13    46      1
 4310402E  35   2   u    0       0          3              2      HB   -16    46      1
 4320402D  35   2   u    0       0          4              0      HB   -16    45      2
 43203C2D  35   2   u    0       0          4              1      HB   -15    45      2
 4310382D  35   2   u    0       0          4              2      HB   -14    45      1
 43103C2D  35   2   u    0       0          5              0      HB   -15    45      1
 4310342D  35   2   u    0       0          5              1      HB   -13    45      1
 4310402D  35   2   u    0       0          5              2      HB   -16    45      1
 4510442E  35   2   u    0       0          6              0      HE   -17    46      1
 4530402E  35   2   u    0       0          6              1      HE   -16    46      3
 4510682D  35   2   u    0       0          6              2      HE   -26    45      1
 4510482E  35   2   u    0       0          7              0      HE   -18    46      1
 4520482E  35   2   u    0       0          7              1      HE   -18    46      2
 4520682D  35   2   u    0       0          7              2      HE   -26    45      2
 4510442D  35   2   u    0       0          8              0      HE   -17    45      1
 4530402D  35   2   u    0       0          8              1      HE   -16    45      3
 4510642D  35   2   u    0       0          8              2      HE   -25    45      1
 4510482D  35   2   u    0       0          9              0      HE   -18    45      1
 4520482D  35   2   u    0       0          9              1      HE   -18    45      2
 4520642D  35   2   u    0       0          9              2      HE   -25    45      2
 45106C2B  35   3   u    0       0         14              0      HE   -27    43      1
 45206C2B  35   3   u    0       0         14              1      HE   -27    43      2
 4520742B  35   3   u    0       0         14              2      HE   -29    43      2
 45306C2B  35   3   u    0       0         15              0      HE   -27    43      3
 45205C2B  35   3   u    0       0         15              1      HE   -23    43      2
 45105C2B  35   3   u    0       0         15              2      HE   -23    43      1
 4510702B  35   3   u    0       0         16              0      HE   -28    43      1
 4520702B  35   3   u    0       0         16              1      HE   -28    43      2
 4510742B  35   3   u    0       0         16              2      HE   -29    43      1
 4530702B  35   3   u    0       0         17              0      HE   -28    43      3
 4520602B  35   3   u    0       0         17              1      HE   -24    43      2
 4510602B  35   3   u    0       0         17              2      HE   -24    43      1
 45204C2C  35   3   u    0       0         18              0      HE   -19    44      2
 4510502C  35   3   u    0       0         18              1      HE   -20    44      1
 4520542B  35   3   u    0       0         18              2      HE   -21    43      2
 45104C2C  35   3   u    0       0         19              0      HE   -19    44      1
 4520502C  35   3   u    0       0         19              1      HE   -20    44      2
 4510542B  35   3   u    0       0         19              2      HE   -21    43      1
 45204C2B  35   3   u    0       0         20              0      HE   -19    43      2
 4510502B  35   3   u    0       0         20              1      HE   -20    43      1
 4520582B  35   3   u    0       0         20              2      HE   -22    43      2
 45104C2B  35   3   u    0       0         21              0      HE   -19    43      1
 4520502B  35   3   u    0       0         21              1      HE   -20    43      2
 4510582B  35   3   u    0       0         21              2      HE   -22    43      1
 4510702D  35   3   u    0       0          2              0      HE   -28    45      1
 4520702D  35   3   u    0       0          2              1      HE   -28    45      2
 4510742D  35   3   u    0       0          2              2      HE   -29    45      1
 4530702D  35   3   u    0       0          3              0      HE   -28    45      3
 4520602D  35   3   u    0       0          3              1      HE   -24    45      2
 4510602D  35   3   u    0       0          3              2      HE   -24    45      1
 45106C2D  35   3   u    0       0          4              0      HE   -27    45      1
 45206C2D  35   3   u    0       0          4              1      HE   -27    45      2
 4520742D  35   3   u    0       0          4              2      HE   -29    45      2
 45306C2D  35   3   u    0       0          5              0      HE   -27    45      3
 45205C2D  35   3   u    0       0          5              1      HE   -23    45      2
 45105C2D  35   3   u    0       0          5              2      HE   -23    45      1
 45204C2E  35   3   u    0       0          6              0      HE   -19    46      2
 4510502E  35   3   u    0       0          6              1      HE   -20    46      1
 4520582D  35   3   u    0       0          6              2      HE   -22    45      2
 45104C2E  35   3   u    0       0          7              0      HE   -19    46      1
 4520502E  35   3   u    0       0          7              1      HE   -20    46      2
 4510582D  35   3   u    0       0          7              2      HE   -22    45      1
 45204C2D  35   3   u    0       0          8              0      HE   -19    45      2
 4510502D  35   3   u    0       0          8              1      HE   -20    45      1
 4520542D  35   3   u    0       0          8              2      HE   -21    45      2
 45104C2D  35   3   u    0       0          9              0      HE   -19    45      1
 4520502D  35   3   u    0       0          9              1      HE   -20    45      2
 4510542D  35   3   u    0       0          9              2      HE   -21    45      1
 43102C30  35   4   u    0       0         14              0      HB   -11    48      1
 43101C30  35   4   u    0       0         14              1      HB    -7    48      1
 43100C30  35   4   u    0       0         14              2      HB    -3    48      1
 43101430  35   4   u    0       0         15              0      HB    -5    48      1
 43100430  35   4   u    0       0         15              1      HB    -1    48      1
 43102430  35   4   u    0       0         15              2      HB    -9    48      1
 43102C2F  35   4   u    0       0         16              0      HB   -11    47      1
 43101C2F  35   4   u    0       0         16              1      HB    -7    47      1
 43100C2F  35   4   u    0       0         16              2      HB    -3    47      1
 4310142F  35   4   u    0       0         17              0      HB    -5    47      1
 4310042F  35   4   u    0       0         17              1      HB    -1    47      1
 4310242F  35   4   u    0       0         17              2      HB    -9    47      1
 43102830  35   4   u    0       0         18              0      HB   -10    48      1
 43101830  35   4   u    0       0         18              1      HB    -6    48      1
 43100830  35   4   u    0       0         18              2      HB    -2    48      1
 43102030  35   4   u    0       0         19              0      HB    -8    48      1
 43101030  35   4   u    0       0         19              1      HB    -4    48      1
 43103030  35   4   u    0       0         19              2      HB   -12    48      1
 4310282F  35   4   u    0       0         20              0      HB   -10    47      1
 4310182F  35   4   u    0       0         20              1      HB    -6    47      1
 4310082F  35   4   u    0       0         20              2      HB    -2    47      1
 4310202F  35   4   u    0       0         21              0      HB    -8    47      1
 4310102F  35   4   u    0       0         21              1      HB    -4    47      1
 4310302F  35   4   u    0       0         21              2      HB   -12    47      1
 43102C32  35   4   u    0       0          2              0      HB   -11    50      1
 43101C32  35   4   u    0       0          2              1      HB    -7    50      1
 43100C32  35   4   u    0       0          2              2      HB    -3    50      1
 43101432  35   4   u    0       0          3              0      HB    -5    50      1
 43100432  35   4   u    0       0          3              1      HB    -1    50      1
 43102432  35   4   u    0       0          3              2      HB    -9    50      1
 43102C31  35   4   u    0       0          4              0      HB   -11    49      1
 43101C31  35   4   u    0       0          4              1      HB    -7    49      1
 43100C31  35   4   u    0       0          4              2      HB    -3    49      1
 43101431  35   4   u    0       0          5              0      HB    -5    49      1
 43100431  35   4   u    0       0          5              1      HB    -1    49      1
 43102431  35   4   u    0       0          5              2      HB    -9    49      1
